table_name       column_name  domain_name width scale nulls default       
-------------------------------------------------------------------------
jalons           jacode       numeric         6     0 N     (NULL)        
jalons           jaref        numeric         6     0 Y     (NULL)        
jalons           jadesc       char           30     0 Y     (NULL)        
jalons           jatype       char            1     0 Y     (NULL)        
jalons           jastatus     char            1     0 Y     (NULL)        
jalons           jastate      char            1     0 Y     (NULL)        
jalons           jaintext     char            1     0 Y     (NULL)        
jalons           jastock      char            1     0 Y     (NULL)        
jalons           jaexpdate    timestamp       8     0 Y     (NULL)        
jalons           jacreadate   timestamp       8     0 Y     (NULL)        
jalons           jacreauser   char           50     0 Y     (NULL)        
jalons           jamoddate    timestamp       8     0 Y     (NULL)        
jalons           jamoduser    char           50     0 Y     (NULL)        
jalons           jafileref    numeric         4     0 Y     (NULL)        
jalons           jafileline   numeric         4     0 Y     (NULL)        
jalons           jaclotdate   timestamp       8     0 Y     (NULL)        
jalons           jaclotuser   char           50     0 Y     (NULL)        
jalons           jasort       numeric         8     0 Y     (NULL)        
labelconfig      lbid         numeric         3     0 N     (NULL)        
labelconfig      lbname       varchar        30     0 N     (NULL)        
labelconfig      lbwidth      numeric         5     1 N     (NULL)        
labelconfig      lbheight     numeric         5     1 N     (NULL)        
labelconfig      lbrowsnb     numeric         2     0 N     (NULL)        
labelconfig      lbcolsnb     numeric         2     0 N     (NULL)        
labelconfig      lbmargleft   numeric         3     1 N     (NULL)        
labelconfig      lbmargright  numeric         3     1 N     (NULL)        
labelconfig      lbmargtop    numeric         3     1 N     (NULL)        
labelconfig      lbmargbottom numeric         3     1 N     (NULL)        
labelconfig      lbrowspace   numeric         3     1 N     (NULL)        
labelconfig      lbcolspace   numeric         3     1 N     (NULL)        
labelconfig      lbmain       char            1     0 Y     (NULL)        
labelconfig      lbactiv      char            1     0 Y     (NULL)        
lang             lgcode       char            2     0 N     (NULL)        
lang             lgnam        char           12     0 Y     (NULL)        
lang             lgactif      char            1     0 Y     (NULL)        
lang             lgord        numeric         2     0 Y     (NULL)        
lang             lgiso        char            2     0 Y     (NULL)        
lang_object      locode       bigint          8     0 N     autoincrement 
lang_object      lgcode       char            2     0 N     (NULL)        
lang_object      loclass      varchar      2000     0 N     (NULL)        
lang_object      lotrans      varchar      2000     0 Y     (NULL)        
lang_object      loinittext   varchar      2000     0 Y     (NULL)        
lang_object_item locode       bigint          8     0 N     autoincrement 
lang_object_item lgcode       char            2     0 N     (NULL)        
lang_object_item loclass      varchar      2000     0 N     (NULL)        
lang_object_item lotrans      varchar      2000     0 N     (NULL)        
lang_object_item loinittext   varchar      2000     0 Y     (NULL)        
lblproc          lpcode       char            8     0 N     (NULL)        
lblproc          lpdesc       varchar        30     0 N     (NULL)        
lblproc          lpprocess    varchar        60     0 N     (NULL)        
lblproc          lpetiq       numeric         3     0 Y     (NULL)        
lblproc          lpbcd1       numeric         3     0 Y     (NULL)        
lblproc          lpbcd2       numeric         3     0 Y     (NULL)        
lblproc          lpbcd3       numeric         3     0 Y     (NULL)        
lblproc          lpetiq2      numeric         3     0 Y     (NULL)        
lblproc2         lpcode       char            8     0 N     (NULL)        
lblproc2         lpdesc       varchar        30     0 N     (NULL)        
lblproc2         lpprocess    varchar        60     0 N     (NULL)        
lblproc2         lpetiq       numeric         3     0 Y     (NULL)        
lblproc2         lpetiq2      numeric         3     0 Y     (NULL)        
lblproc2         lpbcd1       numeric         3     0 Y     (NULL)        
lblproc2         lpbcd2       numeric         3     0 Y     (NULL)        
lblproc2         lpbcd3       numeric         3     0 Y     (NULL)        
lblproc2         lpetiq3      numeric         3     0 Y     (NULL)        
lblproc2         lpetiq_back  numeric         3     0 Y     (NULL)        
lblproc2         lpbcd_back   numeric         3     0 Y     (NULL)        
lblproc2         lp_numprint_ numeric         3     0 N     2             
lblproc2         lp_numprint_ numeric         3     0 N     2             
link_country_eco lce_id       integer         4     0 N     autoincrement 
link_country_eco lce_cocode   char            2     0 Y     (NULL)        
link_country_eco lce_ecid     integer         4     0 Y     (NULL)        
link_lbl_logo    lll_id       integer         4     0 N     autoincrement 
link_lbl_logo    lll_itcode   char           20     0 N     (NULL)        
link_lbl_logo    lll_lglsline tinyint         1     0 N     (NULL)        
link_lbl_logo    lll_value    tinyint         1     0 Y     0             
link_lbl_logo    lll_logonum  tinyint         1     0 Y     (NULL)        
link_machine_pdc mpmachine    integer         4     0 N     (NULL)        
link_machine_pdc mpworkcenter varchar         8     0 N     (NULL)        
linkactivities   lacode       numeric         6     0 N     (NULL)        
linkactivities   laaacode     numeric         2     0 N     (NULL)        
linkactivities   laitem       char           20     0 N     (NULL)        
linkactivities   ladesc       varchar        20     0 N     (NULL)        
linkactivities   laquoteval   numeric        12     3 Y     (NULL)        
linkactivities   latiming     numeric         4     0 Y     (NULL)        
linkadch         lac_id       integer         4     0 N     autoincrement 
linkadch         lac_adcode   char           10     0 Y     (NULL)        
linkadch         lac_chcode   char            4     0 Y     (NULL)        
linkadch         lac_clline   numeric         3     0 N     (NULL)        
linkadch         lac_isornot  tinyint         1     0 Y     0             
linkaddisclogist lddiscount   numeric         4     0 N     (NULL)        
linkaddisclogist ldcode       numeric         4     0 N     (NULL)        
linkaddisclogist ldcust       char           10     0 Y     (NULL)        
linkaddisclogist ldadresgroup char            5     0 Y     (NULL)        
linkaddiscount   lddiscount   numeric         4     0 N     (NULL)        
linkaddiscount   ldcode       numeric         4     0 N     (NULL)        
linkaddiscount   ldcust       char           10     0 Y     (NULL)        
linkaddiscount   ldadresgroup char            5     0 Y     (NULL)        
linkadgppoint    agcode       numeric         6     0 N     autoincrement 
linkadgppoint    aggpcode     numeric         6     0 N     (NULL)        
linkadgppoint    agadcode     char           10     0 N     (NULL)        
linkadgppoint    agalerte     numeric         2     0 N     (NULL)        
linkadgppoint    agalertedate timestamp       8     0 Y     (NULL)        
linkadpromo      lkpromo      numeric         4     0 N     (NULL)        
linkadpromo      lkcode       numeric         4     0 N     (NULL)        
linkadpromo      lkcust       char           10     0 Y     (NULL)        
linkadpromo      lkadresgroup char            5     0 Y     (NULL)        
linkadristqty    lddiscount   numeric         4     0 N     (NULL)        
linkadristqty    ldcode       numeric         4     0 N     (NULL)        
linkadristqty    ldcust       varchar        10     0 Y     (NULL)        
linkadristqty    ldadresgroup varchar         5     0 Y     (NULL)        
linkappad        laadcode     char           10     0 N     (NULL)        
linkappad        laahid       numeric         6     0 N     (NULL)        
linkappad        laalid       numeric         6     0 Y     (NULL)        
linkappad        laalidmaj    char            1     0 Y     'Y'           
linkappad        lanumact     numeric         3     0 Y     (NULL)        
linkappad        lanumactmaj  char            1     0 Y     'Y'           
linkappad        lacontact    numeric         4     0 Y     (NULL)        
linkappad        latokeep     numeric         1     0 Y     1             
linkappadtype    ltahid       numeric         6     0 N     (NULL)        
linkappadtype    ltadtype     numeric         3     0 N     (NULL)        
linkappmcdo      lmahid       numeric         6     0 N     (NULL)        
linkappmcdo      lmmcdo       char           10     0 N     (NULL)        
linkdisc         ldcode       numeric         8     0 N     (NULL)        
linkdisc         ldkey        numeric         2     0 N     (NULL)        
linkdisc         ldtyp        char            1     0 Y     (NULL)        
linkdisc         ldqty1       numeric         4     0 Y     (NULL)        
linkdisc         ldqty2       numeric         4     0 Y     (NULL)        
linkdisc         lddiscpc     numeric        11     5 Y     (NULL)        
linkdisc         ldlvl        numeric         1     0 Y     (NULL)        
linkdisc         ldstartdat   timestamp       8     0 N     (NULL)        
linkdisc         ldstopdat    timestamp       8     0 N     (NULL)        
linkitad         lktyp        char            1     0 N     (NULL)        
linkitad         lkitem       char           20     0 N     (NULL)        
linkitad         lkadcode     char           10     0 N     (NULL)        
linkitad         lkcode       numeric         8     0 N     (NULL)        
linkitad         lkcurr       char            3     0 N     (NULL)        
linkitad         lkactiv      char            1     0 N     (NULL)        
linkitad         lkum         char            2     0 Y     (NULL)        
linkitad         lkumconv     numeric        16    10 Y     (NULL)        
linkitad         lkadref      char           30     0 Y     (NULL)        
linkitad         lkleadtime   numeric         4     0 Y     (NULL)        
linkitad         lkmain       char            1     0 Y     (NULL)        
linkitad         lkremval     numeric         4     0 Y     (NULL)        
linkitad         lkcmnt       varchar        50     0 Y     (NULL)        
linkitad         lkadref2     varchar        60     0 Y     (NULL)        
linkitad         lkean        varchar        20     0 Y     (NULL)        
linkitad         lkconsinfo   varchar        20     0 Y     (NULL)        
linkitad         lkean1       varchar        20     0 Y     (NULL)        
linkitad         lkean2       varchar        20     0 Y     (NULL)        
linkitad         lkean3       varchar        20     0 Y     (NULL)        
linkitad         lkeanref     char            1     0 Y     (NULL)        
linkitad         lkeanref2    char            1     0 Y     (NULL)        
linkitad         lkeanref3    char            1     0 Y     (NULL)        
linkitad         lkean2conv   numeric         9     4 Y     0             
linkitad         lkean3conv   numeric         9     4 Y     0             
linkitad         lklblproc    char            8     0 Y     (NULL)        
linkitad         lkfinalprice numeric        12     4 Y     (NULL)        
linkitad         lkcol2       numeric         5     0 Y     (NULL)        
linkitad         lkprocescrat char            1     0 Y     (NULL)        
linkitad         lkpcratesreg char            1     0 Y     (NULL)        
linkitad         lkcratesweig char            1     0 Y     (NULL)        
linkitad         lkumean2     char            2     0 Y     (NULL)        
linkitad         lkumean3     char            2     0 Y     (NULL)        
linkitad         lkwithcertif char            1     0 Y     (NULL)        
linkitad         lkdatecertif timestamp       8     0 Y     (NULL)        
linkitad         lknbdaycerti numeric         3     0 Y     (NULL)        
linkitad         lkcalcdluo   char            1     0 Y     (NULL)        
linkitad         lklblproc2   char            8     0 Y     (NULL)        
linkitad         lkcheckpc    char            1     0 Y     (NULL)        
linkitad         lkuseeaninv  numeric         1     0 Y     0             
linkitad         lkcustint    char            1     0 Y     'C'           
linkitad         lkcreadate   timestamp       8     0 Y     (NULL)        
linkitad         lkmoddate    timestamp       8     0 Y     (NULL)        
linkitad         lkctrqtymin  numeric        10     3 N     0             
linkitad         lkstdsalod   char            1     0 Y     'N'           
linkitadpack     lptyp        char            1     0 N     (NULL)        
linkitadpack     lpitem       char           20     0 N     (NULL)        
linkitadpack     lpadcode     char           10     0 N     (NULL)        
linkitadpack     lpcode       numeric         8     0 Y     (NULL)        
linkitadpack     lpitadlayer  numeric         4     0 Y     (NULL)        
linkitadpack     lphlayer     numeric         4     0 Y     (NULL)        
linkitadpack     lpnblayer    numeric         4     0 Y     (NULL)        
linkitadpack     lppackid     char            4     0 Y     (NULL)        
linkitadpack     lppackweight numeric         6     2 Y     (NULL)        
linkitadpack     lppackheight numeric         4     0 Y     (NULL)        
linkitadpack     lppackitem   numeric         6     0 Y     (NULL)        
linkitadpack     lpcmnt       long varcha 32767     0 Y     (NULL)        
linkitadpack     lptrcost     numeric        10     4 Y     (NULL)        
linkitadpack     lpumgroup    numeric         6     2 Y     (NULL)        
linkitadpack     lpetigro     varchar        40     0 Y     (NULL)        
linkitadpack     lpetipal     varchar        40     0 Y     (NULL)        
linkitadpack     lpetiitem    varchar        40     0 Y     (NULL)        
linkitadpack     lpautopack   char            1     0 Y     (NULL)        
linkitadpoint    lpcode       numeric         6     0 N     autoincrement 
linkitadpoint    lpslcode     numeric         6     0 N     (NULL)        
linkitadpoint    lpslline     numeric         4     0 N     (NULL)        
linkitadpoint    lpilcode     numeric         6     0 N     (NULL)        
linkitadpoint    lpilline     numeric         4     0 N     (NULL)        
linkitadpoint    lpadcode     char           10     0 N     (NULL)        
linkitadpoint    lpipcode     numeric         6     0 N     (NULL)        
linkitadpoint    lpitcode     char           20     0 N     (NULL)        
linkitadpoint    lpgpcode     numeric         6     0 N     (NULL)        
linkitadpoint    lpnbpoint    numeric         6     0 N     (NULL)        
linkitadpoint    lpdatepoint  timestamp       8     0 N     (NULL)        
linkitadpoint    lpvaluepoint numeric         6     0 N     (NULL)        
linkitadpoint    lpusedpoint  numeric         6     0 N     (NULL)        
linkitadpoint    lpcomment    varchar       120     0 Y     (NULL)        
linkitadtd       ldadcode     char           10     0 N     (NULL)        
linkitadtd       lditem       char           20     0 N     (NULL)        
linkitadtd       ldmoddat     timestamp       8     0 Y     (NULL)        
linkitadtd       lding        long varcha 32767     0 Y     (NULL)        
linkitadtd       ldnut        long varcha 32767     0 Y     (NULL)        
linkitadtd       ldalg        long varcha 32767     0 Y     (NULL)        
linkitadumpur    lucode       numeric         8     0 N     (NULL)        
linkitadumpur    luum         char            2     0 N     (NULL)        
linkitadumpur    luumconv     numeric        16    10 Y     (NULL)        
linkitcn         icitem       varchar        20     0 N     (NULL)        
