parent_table role         child_table           
-----------------------------------------------
locations    fk_loc       linkitloc             
locations    locations    stocks                
locations    locations    adresses              
locations    locations    matallocs             
locations    locations    histostock            
locations    locations    transact_with_confirm 
locations    locations001 transact_with_confirm 
machine      machine      hourly_day            
machine      machine      mfgwcreqs_advsc       
machine      machine      link_machine_pdc      
machine      machine      routline_nomachine    
mfghead      mfghead      mfgcoitem             
mfghead      mfghead      mfghbatch             
mfghead      mfghead      mfglallocs            
mfghead      mfghead      purinvline            
mfghead      mfghead      invoiceline           
mfglallocs   mfglallocs   mfglbatch             
mfgwcreqs    mfgwcreqs    mfgwcreqs_advsc       
mfgwcreqs    mfgwcreqs    advsched_lastdel      
monitplan    monitplan    monitplanline         
packings     packings     conssale              
packings     packings     itempack              
pfhead       pfhead       pfline                
pfhead       pfhead       pfusers               
pfobjet      pfobjet      pfline                
pfobjet      pfobjet      pfuseracces           
profohead    profohead    profotva              
programs     pgcode       Authorities           
projhead     projhead     devgroup              
promohead    promohead    promoline             
promohead    promohead    linkadpromo           
purhead      purhead      purline               
purinvhead   purinvhead   purinvline            
purline      purline      toreception           
qcctrlhead   qcctrlhead   qcctrlline            
qcspechead   qcspechead   qcspecetiq            
qctest       qctest       qcctrlline            
qctest       qctest       qcspecline            
ratehead     ratehead     rateline              
ratehead     ratehead     adresrate             
ratehead     ratehead     except_rate_itad      
routline     routline     routline_nomachine    
salediscount salediscount linkadristqty         
salesman     salesman     users                 
salesman     salesman     linksaus              
salhead      salhead      salaux                
salhead      salhead      ETI_BPS               
salhead      salhead      salline               
salhead      salhead      ETI_BPOST             
salhead      salhead      invoiceline           
salline      salline      colisage              
salline      salline      conssale              
salline      salline      salaudit              
salline      salline      shipline              
salline      salline      SUBLINE_SAL           
salline      salline      mfgcoitemsal          
shiphead     shiphead     shipline              
shiphead     shiphead     invoiceline           
shipline     shipline     shippack              
shipline     shipline     ssccline              
shipto       shipto       shipto                
smt_category smt_category smtcode               
srvccycle    srvccycle    srvcrqhead            
srvcentity   srvcentity   srvccycle             
srvcentity   srvcentity   srvcrqhead            
srvcrqhead   srvcrqhead   srvcrqlab             
srvcrqhead   srvcrqhead   srvcrqmat             
srvcrqhead   srvcrqhead   srvcrqoth             
SUBHEAD      SUBHEAD      SUBINVOICE            
SUBHEAD      SUBHEAD      SUBLINE_SAL           
SUBLINE_SAL  SUBLINE_SAL  SUBLINE_REP           
ticketline   ticketline   ticketline_invoicelin 
trf_emp_3ste trf_emp_3ste trf_emp_3step_line    
turnhead     turnhead     turn_prev             
tvalvl       tvalvl       tvalvl_country        
users        users        fileAJ                
users        users        ETI_BPS               
users        users        fileMFG               
users        users        ETI_BPOST             
users        users        Cells_cmnt            
users        users        filetoallocate        
viewnames    viewnames    viewstruct            
workcenters  fk_workcente machinehead           
workcenters  wccode       mfgwcreqs             
workcenters  workcenters  activities            
workcenters  workcenters  link_machine_pdc      
workflowhead workflowhead workflowline          
workflowhead workflowhead workflowline          
workflowhead workflowhead workflowline          
workflowhead workflowhead workflowline          

(90 lignes)
Remarque : certaines valeurs ont été tronquées pour des questions d'affichage.

