child_table        role          parent_table 
---------------------------------------------
link_country_ecost country       country      
link_country_ecost extracosts    extracosts   
link_lbl_logo      items         items        
link_machine_pdc   machine       machine      
link_machine_pdc   workcenters   workcenters  
linkactivities     activities    activities   
linkactivities     items         items        
linkadch           adresses      adresses     
linkadch           choicehead    choicehead   
linkaddisclogist   disclogist    disclogist   
linkaddiscount     dischead      dischead     
linkadpromo        promohead     promohead    
linkadristqty      salediscount  salediscount 
linkitad           currency      currencies   
linkitad           itemlk        items        
linkitadtd         adresses      adresses     
linkitadtd         items         items        
linkitloc          fk_item       items        
linkitloc          fk_loc        locations    
linkmcad2          adresses      adresses     
linkmcad2          adresses001   adresses     
linksaus           salesman      salesman     
lkitcl             claims        claims       
lots               itemlot       items        
machine            calhead       calhead      
machine            cells         CELLS        
machine            hourly        hourly       
machinehead        fk_workcenter workcenters  
matallocs          items         items        
matallocs          locations     locations    
matreq             itemmreq      items        
mfgcoitem          items         items        
mfgcoitem          mfghead       mfghead      
mfgcoitemsal       items         items        
mfgcoitemsal       salline       salline      
mfghbatch          mfghead       mfghead      
mfghead            adresses      adresses     
mfghead            itemmfgh      items        
mfglallocs         itemmfga      items        
mfglallocs         mfghead       mfghead      
mfglbatch          mfglallocs    mfglallocs   
mfgwcreqs          adresses      adresses     
mfgwcreqs          wccode        workcenters  
mfgwcreqs_advsc    machine       machine      
mfgwcreqs_advsc    mfgwcreqs     mfgwcreqs    
monitplanline      monitplan     monitplan    
pfline             pfhead        pfhead       
pfline             pfobjet       pfobjet      
pfuseracces        pfobjet       pfobjet      
pfusers            pfhead        pfhead       
profohead          adresses      adresses     
profotva           profohead     profohead    
projhead           adresses      adresses     
promoline          promohead     promohead    
purcnthead         adresses      adresses     
purghead           adresses      adresses     
purghead           filehead      filehead     
purhead            adresses      adresses     
purhead            filehead      filehead     
purhead            supplier      adresses     
purinvhead         adresses      adresses     
purinvhead         filehead      filehead     
purinvline         mfghead       mfghead      
purinvline         purinvhead    purinvhead   
purinvtransact     histostock    histostock   
purline            itempurl      items        
purline            purhead       purhead      
qcctrlhead         adresses      adresses     
qcctrlline         qcctrlhead    qcctrlhead   
qcctrlline         qctest        qctest       
qcspecetiq         qcspechead    qcspechead   
qcspechead         adresses      adresses     
qcspecline         adresses      adresses     
qcspecline         qctest        qctest       
rateline           items         items        
rateline           ratehead      ratehead     
routline           adresses      adresses     
routline_nomachine machine       machine      
routline_nomachine routline      routline     
salaudit           salline       salline      
salaux             salhead       salhead      
salegroup          conssale      conssale     
salhead            adresses      adresses     
salhead            custsalh      adresses     
salhead            filehead      filehead     
salline            itemsall      items        
salline            salhead       salhead      
shiphead           adresses      adresses     
shiphead           adresses001   adresses     
shipline           items         items        
shipline           salline       salline      
shipline           shiphead      shiphead     
shippack           shipline      shipline     
shipto             shipto        shipto       
smtcode            smt_category  smt_category 
srvccycle          srvcentity    srvcentity   
srvcrqhead         srvccycle     srvccycle    
srvcrqhead         srvcentity    srvcentity   
srvcrqlab          srvcrqhead    srvcrqhead   
srvcrqmat          items         items        
srvcrqmat          srvcrqhead    srvcrqhead   
srvcrqoth          srvcrqhead    srvcrqhead   
ssccline           shipline      shipline     
stocks             items         items        
stocks             locations     locations    
SUBHEAD            BOMSUBHEAD    BOMSUBHEAD   
SUBINVOICE         INVOICEHEAD   invoicehead  
SUBINVOICE         SUBHEAD       SUBHEAD      
SUBLINE_REP        items         items        
SUBLINE_REP        SUBLINE_SAL   SUBLINE_SAL  
SUBLINE_SAL        items         items        
SUBLINE_SAL        salline       salline      
SUBLINE_SAL        SUBHEAD       SUBHEAD      
techlink           items         items        
ticketline_invoice invoiceline   invoiceline  
ticketline_invoice ticketline    ticketline   
toreception        purline       purline      
transact_with_conf items         items        
transact_with_conf locations     locations    
transact_with_conf locations001  locations    
trf_emp_3step_line trf_emp_3step trf_emp_3ste 
trustbox           items         items        
turn_prev          turnhead      turnhead     
tvalvl_country     country       country      
tvalvl_country     tvalvl        tvalvl       
users              salesman      salesman     
viewstruct         viewnames     viewnames    
WMS_CSS            items         items        
WMS_STO            import_wms    import_wms   
WMS_STO            import_wms001 import_wms   
workcenters        calender      calhead      
workers            CELLS         CELLS        
workflowline       activities    activities   
workflowline       workflowhead  workflowhead 
workflowline       workflowhead0 workflowhead 
workflowline       workflowhead0 workflowhead 
workflowline       workflowhead0 workflowhead 

(137 lignes)
Remarque : certaines valeurs ont été tronquées pour des questions d'affichage.

