table_name         column_name   pkey 
-------------------------------------
jalons             jacode        Y    
labelconfig        lbid          Y    
lang               lgcode        Y    
lang_object        locode        Y    
lang_object        lgcode        Y    
lang_object        loclass       Y    
lang_object_item   locode        Y    
lang_object_item   lgcode        Y    
lang_object_item   loclass       Y    
lang_object_item   lotrans       Y    
lblproc            lpcode        Y    
lblproc2           lpcode        Y    
link_country_ecost lce_id        Y    
link_lbl_logo      lll_id        Y    
link_machine_pdc   mpmachine     Y    
link_machine_pdc   mpworkcenters Y    
linkactivities     lacode        Y    
linkadch           lac_id        Y    
linkaddisclogist   lddiscount    Y    
linkaddisclogist   ldcode        Y    
linkaddiscount     lddiscount    Y    
linkaddiscount     ldcode        Y    
linkadgppoint      agcode        Y    
linkadpromo        lkpromo       Y    
linkadpromo        lkcode        Y    
linkadristqty      lddiscount    Y    
linkadristqty      ldcode        Y    
linkappad          laadcode      Y    
linkappad          laahid        Y    
linkappadtype      ltahid        Y    
linkappadtype      ltadtype      Y    
linkappmcdo        lmahid        Y    
linkappmcdo        lmmcdo        Y    
linkdisc           ldcode        Y    
linkdisc           ldkey         Y    
linkitad           lktyp         Y    
linkitad           lkitem        Y    
linkitad           lkadcode      Y    
linkitadpack       lptyp         Y    
linkitadpack       lpitem        Y    
linkitadpack       lpadcode      Y    
linkitadpoint      lpcode        Y    
linkitadtd         ldadcode      Y    
linkitadtd         lditem        Y    
linkitadumpur      lucode        Y    
linkitadumpur      luum          Y    
linkitcn           icitem        Y    
linkitcn           iccnid        Y    
linkitcountry      lcitcode      Y    
linkitcountry      lccocode      Y    
linkitloc          llitem        Y    
linkitloc          llloc         Y    
linklpappoint      llcode        Y    
linkmaus           liuscode      Y    
linkmaus           limacode      Y    
linkmcad           lkadcode      Y    
linkmcad2          lkadcode      Y    
linkmcad2          lkmccode      Y    
linksaus           liuscode      Y    
linksaus           lismcode      Y    
linkusus           liuscode_1    Y    
linkusus           liuscode_2    Y    
lkitcl             licitcode     Y    
lkitcl             licclid       Y    
locations          lccode        Y    
lots               locode        Y    
machine            mcid          Y    
machinehead        mhmachineid   Y    
mailaccount        maadress      Y    
matallocs          matyp         Y    
matallocs          macode        Y    
matallocs          maitemseq     Y    
matallocs          maallocseq    Y    
matplan            mpitem        Y    
matplan            mpplduedat    Y    
matplannew         mpitem        Y    
matplannew         mpplduedat    Y    
matreq             mritem        Y    
matreq             mrreqdat      Y    
matreq             mrorigin      Y    
matsal             msitem        Y    
matsal             msdatship     Y    
matsal             mssalord      Y    
matsal             mssalline     Y    
measures           umcode        Y    
methodeview        mvitem        Y    
methodeview        mvbomtype     Y    
methodeview        mvtype        Y    
methodeview        mvcode        Y    
methodeview        mvcode2       Y    
mfgcoitem          mccode        Y    
mfgcoitem          mcitem        Y    
mfgcoitemsal       msmhcode      Y    
mfgcoitemsal       msitem        Y    
mfgcoitemsal       mssalhead     Y    
mfgcoitemsal       mssalline     Y    
mfgcosts           mccode        Y    
mfgcosts           mctype        Y    
mfgcosts           mcseq         Y    
mfghbatch          mhmhcode      Y    
mfghbatch          mhline        Y    
mfghead            mhcode        Y    
mfglallocs         mlcode        Y    
mfglallocs         mlitemseq     Y    
mfglbatch          mlmhcode      Y    
mfglbatch          mlline        Y    
mfglbatch          mlitemseq     Y    
mfgwcreject        mrcode        Y    
mfgwcreject        mrline        Y    
mfgwcreject        mrtype        Y    
mfgwcreqs          mwcode        Y    
mfgwcreqs          mwline        Y    
mfgwcreqs_advsc    maid          Y    
mfgwctests         wtcode        Y    
mfgwctests         wtline        Y    
mfgwctests         wttest        Y    
mfgwctests         wtidreplicat  Y    
mfgxtracost        mxcode        Y    
mfgxtracost        mxline        Y    
modules            mdcode        Y    
monitplan          mpcode        Y    
monitplanline      mlcode        Y    
monitplanline      mlline        Y    
monittest          mtcode        Y    
mrpabnorm          matyp         Y    
mrpabnorm          maseq         Y    
multico            mccode        Y    
offergrouphead     oghcode       Y    
offergroupline     oglcode       Y    
offergroupline     oglline       Y    
packgrhead         phcode        Y    
packgrline         plphcode      Y    
packgrline         plpkcode      Y    
packings           pkcode        Y    
parameters         pmcode        Y    
paramini           piusage       Y    
paramini           pitype        Y    
paramini           piid          Y    
paramini           pikey         Y    
paramini           pisubkey      Y    
paymode            pmcode        Y    
pclicence          plpcname      Y    
pfhead             phcode        Y    
pfline             plphcode      Y    
pfline             plobjetid     Y    
pfobjet            poid          Y    
pfuseracces        pauscode      Y    
pfuseracces        papoid        Y    
pfusers            puuscode      Y    
pfusers            puprofil      Y    
plangroup          pgcode        Y    
planifiedtask      ptcode        Y    
pmiconn            id            Y    
printers           prcode        Y    
printsubst         psoriginal    Y    
profohead          phcode        Y    
profoline          plcode        Y    
profoline          plline        Y    
profotva           ptcode        Y    
profotva           pttva         Y    
progerrors         pedatim       Y    
progparam          ppcode        Y    
progparamwindow_ob powindowname  Y    
progparamwindow_ob poobjectname  Y    
programs           pgcode        Y    
projaux            paphid        Y    
projaux            pacode        Y    
projdetail         pdprojid      Y    
projdetail         pdversid      Y    
projdetail         pdline        Y    
projhead           phcode        Y    
projinvlin         plphid        Y    
projinvlin         plpvid        Y    
projinvlin         plcode        Y    
projinvlin         plstepid      Y    
projlab            pbphid        Y    
projlab            pbpvid        Y    
projlab            pbplid        Y    
projlab            pbcode        Y    
projlab            pbwc          Y    
projline           plphid        Y    
projline           plpvid        Y    
projline           plcode        Y    
projmat            pmphid        Y    
projmat            pmpvid        Y    
projmat            pmplid        Y    
projmat            pmcode        Y    
projsize           psphid        Y    
projsize           pspvid        Y    
projsize           psplid        Y    
projsize           psduid        Y    
projstep           psphid        Y    
projstep           pscode        Y    
projvrsn           pvphid        Y    
projvrsn           pvcode        Y    
promohead          phcode        Y    
promoline          plcode        Y    
promoline          plline        Y    
purcnthead         chcode        Y    
purcntline         clcode        Y    
purcntline         clitemid      Y    
purghead           phcode        Y    
purgline           plcode        Y    
purgline           plline        Y    
purhead            phcode        Y    
purheadlimite      phlcode       Y    
purinvcpt          pccode        Y    
purinvcpt          pccptpur      Y    
purinvcpt          pctva         Y    
purinvhead         picode        Y    
purinvline         plcode        Y    
purinvline         plline        Y    
purinvsplit        pscode        Y    
purinvsplit        psline        Y    
purinvsplit        psitem        Y    
purinvsplit        pstruck       Y    
purinvtransact     pthistoseq    Y    
purinvtransact     ptpurinvcode  Y    
purinvtransact     ptpurinvline  Y    
purline            plcode        Y    
purline            plline        Y    
purlinelimite      pllcode       Y    
purlinelimite      pllline       Y    
purreqhead         pqcode        Y    
purreqline         plcode        Y    
purreqline         plline        Y    
qcauditctrl        qacid         Y    
qcctrlhead         qhctrlid      Y    
qcctrlline         qlctrlid      Y    
qcctrlline         qlline        Y    
qcspecetiq         qeitem        Y    
qcspecetiq         qetyp         Y    
qcspecetiq         qeadcode      Y    
qcspecetiq         qeversn       Y    
qcspecetiq         qeline        Y    
qcspechead         qhitem        Y    
qcspechead         qhtyp         Y    
qcspechead         qhadcode      Y    
qcspechead         qhversn       Y    
qcspecline         qlitem        Y    
qcspecline         qltyp         Y    
qcspecline         qladcode      Y    
qcspecline         qlversn       Y    
qcspecline         qlline        Y    
qctchoice          qcchoiceid    Y    
qctchoice          qcseq         Y    
qctest             qttestid      Y    
query              qrname        Y    
quotes             qocode        Y    
quotes             qominqty      Y    
r_ih_ih            ihcode        Y    
r_ih_ih            ihcodenote    Y    
r_il_il            ilcode        Y    
r_il_il            illine        Y    
r_il_il            ilcodenote    Y    
r_il_il            illinenote    Y    
ratehead           rhcode        Y    
rateline           rlcode        Y    
rateline           rlitem        Y    
routjal            rjcode_item   Y    
routjal            rjcode        Y    
routjal            rjminqty      Y    
routline           rlcode        Y    
routline           rltype        Y    
routline           rlline        Y    
routline_nomachine rmrlcode      Y    
routline_nomachine rmrltype      Y    
routline_nomachine rmrlline      Y    
routline_nomachine rmmcid        Y    
routreject         rrcode        Y    
routreject         rrtype        Y    
routtest           rtcode        Y    
